Rank,Release Group,Worldwide,Domestic,% of Total,Foreign,% of Total
1,Barbie,1441820453,636220453.0,0.441,805600000.0,0.5589999999999999
2,The Super Mario Bros. Movie,1361365341,574934330.0,0.42200000000000004,786431011.0,0.578
3,Oppenheimer,952010450,326076450.0,0.34299999999999997,625934000.0,0.657
4,Guardians of the Galaxy Vol. 3,845555777,358995815.0,0.425,486559962.0,0.575
5,Fast X,704875015,146126015.0,0.207,558749000.0,0.7929999999999999
6,Spider-Man: Across the Spider-Verse,690516673,381311319.0,0.552,309205354.0,0.44799999999999995
7,The Little Mermaid,569626289,298172056.0,0.523,271454233.0,0.47700000000000004
8,Mission: Impossible - Dead Reckoning Part One,567535383,172135383.0,0.303,395400000.0,0.6970000000000001
9,Elemental,496176105,154426697.0,0.311,341749408.0,0.6890000000000001
10,Ant-Man and the Wasp: Quantumania,476071180,214504909.0,0.451,261566271.0,0.5489999999999999
11,John Wick: Chapter 4,440146694,187131806.0,0.425,253014888.0,0.575
12,Transformers: Rise of the Beasts,438966392,157066392.0,0.358,281900000.0,0.642
13,Meg 2: The Trench,395000317,82600317.0,0.209,312400000.0,0.7909999999999999
14,Indiana Jones and the Dial of Destiny,383963057,174480468.0,0.45399999999999996,209482589.0,0.546
15,The Hunger Games: The Ballad of Songbirds & Snakes,299736114,146173590.0,0.488,153562524.0,0.512
16,Five Nights at Freddy's,289361620,137275620.0,0.474,152086000.0,0.526
17,Creed III,275248615,156248615.0,0.568,119000000.0,0.43200000000000005
18,The Flash,270633313,108133313.0,0.4,162500000.0,0.6
19,The Nun II,268067073,86267073.0,0.322,181800000.0,0.6779999999999999
20,Taylor Swift: The Eras Tour,250134343,179444207.0,0.7170000000000001,70690136.0,0.28300000000000003
21,Sound of Freedom,248067149,184178046.0,0.742,63889103.0,0.258
22,Dungeons & Dragons: Honor Among Thieves,208177026,93277026.0,0.44799999999999995,114900000.0,0.552
23,The Marvels,204966829,84362351.0,0.41200000000000003,120604478.0,0.588
24,PAW Patrol: The Mighty Movie,197431360,65231360.0,0.33,132200000.0,0.67
25,The Equalizer 3,190991067,92373751.0,0.484,98617316.0,0.516
26,Napoleon,189993288,58430761.0,0.308,131562527.0,0.6920000000000001
